hshd_num,loyalty_flag,age_range,marital_status,income_range,homeowner_desc,hshd_composition,hh_size,children
159,Y,null,null,null,null,null,null,null
210,Y,null,null,null,null,null,null,null
616,Y,null,null,null,null,null,null,null
651,Y,null,null,null,null,null,null,null
1261,Y,null,null,null,null,null,null,null
1275,Y,null,null,null,null,null,null,null
1433,Y,null,null,null,null,null,null,null
